Hip,Hab?,Display Name,Spectral Class,Distance,Xg,Yg,Zg,AbsMag
0,1,Sun (Sol),G2V,0,0,0,0,4.85
70890,,Proxima Centauri,M5Ve,1.3,0.9,-0.9,0,15.48901452
71681,,Rigel Kentaurus B,K1V,1.3,1,-0.9,0,5.69237068
71683,,Rigel Kentaurus A,G2V,1.3,1,-0.9,0,4.36237068
87937,,Barnard's Star,sdM4,1.8,1.5,0.9,0.4,13.24790128
0,,Gl 406,M6,2.4,-0.6,-1.2,2,16.55743932
54035,,Lalande 21185,M2V,2.5,-1.1,-0.1,2.3,10.44864499
0,,Gl 65,dM5.5e,2.6,-0.6,0.1,-2.5,15.47291438
0,,Gl 65 B,dM5.5e,2.6,-0.6,0.1,-2.5,15.60291438
0,,Gl 244 B,DA2,2.6,-1.8,-1.9,-0.4,11.33439891
32349,,Sirius,A0m...,2.6,-1.8,-1.9,-0.4,1.464398907
92403,,Gl 729,M3.5Ve,3,2.9,0.6,-0.5,13.09479628
0,,Gl 905,dM6 e,3.2,-1,2.8,-0.9,14.78568497
16537,,18 Epsilon Eridani,K2V,3.2,-2.1,-0.6,-2.4,6.192055687
57548,1,Gl 447,M4.5V,3.3,0,-1.7,2.9,13.50256408
114046,,Lacaille 9352,M2/M3V,3.3,1.3,0.1,-3,9.7536535
0,,Gl 866,M5 e,3.4,1.3,1.4,-2.8,15.00395131
0,,Gl 280 B,DA,3.5,-2.8,-1.9,0.8,12.98129862
37279,,Procyon,F5IV-V,3.5,-2.8,-1.9,0.8,2.661298621
91772,,Gl 725 B,K5,3.5,0,3.2,1.4,11.9802587
104214,,61 Cygni,K5V,3.5,0.5,3.4,-0.4,7.500392855
104217,,61 Cygni,K7V,3.5,0.5,3.5,-0.4,8.307422009
0,,Gl 15 B,M6 Ve,3.6,-1.5,3,-1.1,13.29788307
0,,GJ 1111,M6.5,3.6,-2.9,-0.9,1.9,17.01297131
1475,,Gl 15,M1V,3.6,-1.5,3,-1.1,10.31788307
8102,,52 Tau Ceti,G8V,3.6,-1,0.1,-3.5,5.68009966
91768,,Gl 725,K5,3.6,0,3.3,1.5,11.13796054
108870,,Epsilon Indi,K5V,3.6,2.2,-1,-2.7,6.892656352
36208,1,Luyten's Star,M5,3.8,-3.2,-2,0.7,11.95192438
24186,,Kapteyn's Star,M0V,3.9,-1.1,-3,-2.3,10.88491382
105090,1,Lacaille 8760,M1/M2V,3.9,2.8,0.2,-2.8,8.688775957
0,,Gl 860 B,M6 V,4,-1,3.9,0,13.28552681
110893,,Krüger 60,M2V,4,-1,3.9,0,11.83552681
0,,Gl 234 B,,4.1,-3.4,-2.2,-0.4,16.52704817
30920,,Gl 234,M4.5Ve,4.1,-3.4,-2.2,-0.4,13.05704817
0,,GJ 1061,M4.5,4.3,-0.8,-2.5,-3.4,14.86677961
0,,Gl 473,dM5.5eJ,4.3,0.4,-1.3,4.1,14.86931108
0,,Gl 473 B,M7,4.3,0.4,-1.3,4.1,15.12931108
72511,,Gl 563.2B,M,4.3,3.3,-1.6,2.1,13.91755585
80824,1,BD-12°4523,M4,4.3,3.9,0.2,1.7,11.93080683
439,,Gl 1,M2V,4.4,1,-0.3,-4.2,10.34230436
3829,,Van Maanen's Star,DG,4.4,-1.3,2,-3.7,14.15965094
15689,,Hip 15689,,4.4,-2.5,-0.9,-3.5,13.94442971
0,,Gl 83.1,dM8 e,4.5,-2.6,1.6,-3.2,14.02930041
0,,NN 3522,k,4.5,-2.9,-2.4,2.4,12.64124009
0,,NN 3618,m,4.5,1.4,-4.3,-0.2,15.65957593
0,,NN 3622,M6.5,4.5,-0.5,-3.4,3,17.32196137
72509,,Gl 563.2,M,4.5,3.5,-1.7,2.2,13.38980771
85523,1,Gl 674,K5,4.5,4.3,-1.3,-0.5,11.0863535
86162,,Gl 687,M3.5Vvar,4.5,-0.6,3.8,2.4,10.90048702
57367,,Gl 440,DC:,4.6,2,-4.1,-0.2,13.17628628
114110,,Hip 114110,,4.6,1.2,1.7,-4.1,13.91749009
0,,GJ 1002,M5-5.5,4.7,-0.1,1.8,-4.3,15.38985812
0,,GJ 1245,M5.5 V e,4.7,0.9,4.6,0.7,15.0416793
0,,GJ 1245 B,m,4.7,0.9,4.6,0.7,15.6416793
113020,,Gl 876,M5,4.7,1.5,1.9,-4.1,11.80873536
0,,Gl 412 B,M6 e,4.8,-2.1,0.4,4.3,15.97922222
54211,,Gl 412,M2Vvar,4.8,-2.1,0.4,4.3,10.31922222
0,,Gl 388,M4.5Ve,4.9,-2.3,-1.7,4,10.94708613
49908,,Groombridge 1618,K8V,4.9,-2.9,0.7,3.8,8.151098416
82725,,Hip 82725,,4.9,4.1,-2.6,-1,13.25758716
85605,,Hip 85605,,4.9,2.9,3.2,2.3,12.92416161
106440,1,Gl 832,M1V,4.9,3.3,-0.6,-3.6,10.20244681
0,,Gl 166 B,DA4,5,-3.7,-1.4,-3.1,11.00595645
0,,Gl 166 C,dM4.5e,5,-3.7,-1.4,-3.1,12.65595645
19849,,40 Omicron 2 Eridani,K1V,5,-3.7,-1.4,-3.1,5.915956445
86214,1,Gl 682,M5,5,4.9,-1.2,-0.6,12.43683257
112460,,Gl 873,M4.5Ve,5,-0.9,4.8,-1.1,11.74409351
0,,Gl 702 B,K5 Ve,5.1,4.3,2.5,1,7.468138459
88601,,70 Ophiuchi,K0V SB,5.1,4.3,2.5,1,5.678138459
97649,,Altair,A7IV-V,5.1,3.4,3.8,-0.8,2.213928062
0,,GJ 1116,m,5.2,-3.7,-1.9,3.1,15.46857485
0,,GJ 1116 B,m,5.2,-3.7,-1.9,3.1,16.32857485
1242,,GJ 1005,M:,5.2,0.1,1.2,-5.1,13.4449222
0,,NN 3379,M4,5.4,-4.8,-2.2,-0.9,12.68106427
57544,,Gl 445,M4,5.4,-2.5,3.4,3.3,12.14148544
67155,1,BD+15°2620,M3V,5.4,1.6,-0.2,5.2,9.785622766
0,,Gl 169.1B,DC5,5.5,-4.6,2.9,0.7,13.73270754
21088,,Gl 169.1,,5.5,-4.6,2.9,0.7,12.37270754
33226,1,Hip 33226,K:...,5.5,-5.3,-0.3,1.4,11.18222855
103039,1,Hip 103039,,5.5,3.9,2.3,-3.1,12.71214588
