system,name,class,distance,ra,dec,mass,absmagnitude
Solar System,Sun,G2V6,0.0000158,0:0:0,0:0:0,1,4.85
Alpha Centauri,Proxima Centauri,M5.5Ve,4.2465,14:29:43.0,-62:40:46,0.122,15.53
Alpha Centauri,Rigil Kentaurus,G2V6,4.3441,14:39:36.5,-60:50:02,1.079,4.38
Alpha Centauri,Toliman,K1V6,4.3441,14:39:35.1,-60:50:14,0.909,5.71
Barnard's Star,Barnard's Star,M4.0Ve,5.9629,17:57:48.5,+04:41:36,0.144,13.22
Luhman 16,A,L8±117,6.5029,10:49:18.9,-53:19:10,0.032,14.2
Luhman 16,B,T1±217,6.5029,10:49:18.9,-53:19:10,0.027,0
WISE 0855-0714,WISE 0855-0714,Y4,7.430,08:55:10.8,-07:14:43,0.003,28.2
Wolf 359,Wolf 359,M6.0V6,7.8558,10:56:29.2,+07:00:53,0.09,16.55
Lalande 21185,Lalande 21185,M2.0V6,8.3044,11:03:20.2,+35:58:12,0.39,10.44
Alpha Canis Majoris,Sirius,A1V6,8.7094,06:45:08.9,-16:42:58,2.063,1.42
Alpha Canis Majoris,B,DA26,8.7094,06:45:08.9,-16:42:58,1.018,11.34
Gliese 65,A,M5.5Ve,8.724,01:39:01.3,-17:57:01,0.102,15.4
Gliese 65,B,M6.0Ve,8.724,01:39:01.3,-17:57:01,0.1,15.85
Ross 154,Ross 154,M3.5Ve,9.7063,18:49:49.4,-23:50:10,0.17,13.07
Ross 248,Ross 248,M5.5Ve,10.3057,23:41:54.7,+44:10:30,0.136,14.79
Epsilon Eridani,Epsilon Eridani,K2V6,10.4749,03:32:55.8,-09:27:30,0.82,6.19
Lacaille 9352,Lacaille 9352,M0.5V,10.7241,23:05:52.0,-35:51:11,0.486,9.75
Ross 128,Ross 128,M4.0Vn,11.0074,11:47:44.4,+00:48:16,0.168,13.51
EZ Aquarii,A,M5.0Ve,11.109,22:38:33.4,-15:17:57,0.11,15.64
EZ Aquarii,B,M?,11.109,22:38:33.4,-15:17:57,0.11,15.58
EZ Aquarii,C,M?,11.109,22:38:33.4,-15:17:57,0.1,16.34
Alpha Canis Minoris,Procyon,F5IV-V6,11.402,07:39:18.1,+05:13:30,1.499,2.66
Alpha Canis Minoris,B,DQZ6,11.402,07:39:18.1,+05:13:30,0.602,12.98
61 Cygni,A,K5.0V6,11.4039,21:06:53.9,+38:44:58,0.7,7.49
61 Cygni,B,K7.0V6,11.4039,21:06:55.3,+38:44:31,0.63,8.31
Struve 2398,A,M3.0V6,11.4908,18:42:46.7,+59:37:49,0.334,11.16
Struve 2398,B,M3.5V6,11.4908,18:42:46.9,+59:37:37,0.248,11.95
Groombridge 34,A,M1.5V6,11.6191,00:18:22.9,+44:01:23,0.38,10.32
Groombridge 34,B,M3.5V6,11.6191,00:18:22.9,+44:01:23,0.15,13.3
DX Cancri,DX Cancri,M6.5Ve,11.6797,08:29:49.5,+26:46:37,0.09,16.98
Epsilon Indi,A,K5Ve6,11.8670,22:03:21.7,-56:47:10,0.754,6.89
Epsilon Indi,Ba,T1.0V,11.8670,22:04:10.5,-56:46:58,0.065,14.5
Epsilon Indi,Bb,T6.0V,11.8670,22:04:10.5,-56:46:58,0.05,15.4
Tau Ceti,Tau Ceti,G8.5Vp6,11.9118,01:44:04.1,-15:56:15,0.783,5.68
GJ 1061,GJ 1061,M5.5V6,11.9839,03:35:59.7,-44:30:45,0.113,15.26
YZ Ceti,YZ Ceti,M4.5V6,12.1222,01:12:30.6,-16:59:56,0.13,14.17
Luyten's Star,Luyten's Star,M3.5Vn,12.3485,07:27:24.5,+05:13:33,0.26,11.97
Teegarden's Star,Teegarden's Star,M6.5V,12.4970,02:53:00.9,+16:52:53,0.08,17.22
Kapteyn's Star,Kapteyn's Star,M1.5VI6,12.8308,05:11:40.6,-45:01:06,0.281,10.87
Lacaille 8760,Lacaille 8760,M0.0V6,12.9472,21:17:15.3,-38:52:03,0.6,8.69
SCR 1845-6357,A,M8.5V6,13.0638,18:45:05.3,-63:57:48,0.07,19.41
SCR 1845-6357,B,T647,13.0638,18:45:02.6,-63:57:52,0.03,15.3
Kruger 60,A,M3.0V6,13.0724,22:27:59.5,+57:41:45,0.271,11.76
Kruger 60,B,M4.0V6,13.0724,22:27:59.5,+57:41:45,0.176,13.38
DENIS J1048-3956,DENIS J1048-3956,M8.5V6,13.1932,10:48:14.7,-39:56:06,0.08,19.37
Ross 614,A,M4.5V6,13.363,06:29:23.4,-02:48:50,0.223,13.09
Ross 614,B,M5.5V,13.363,06:29:23.4,-02:48:50,0.111,16.17
UGPS J0722-0540,UGPS J0722-0540,T96,13.43,07:22:27.3,-05:40:30,0.010,18.45
Wolf 1061,Wolf 1061,M3.0V6,14.0500,16:30:18.1,-12:39:45,0.294,11.93
Van Maanen's Star,Van Maanen's Star,DZ76,14.0718,00:49:09.9,+05:23:19,0.67,14.21
Gliese 1,Gliese 1,M1.5 V6,14.1747,00:05:24.4,-37:21:27,0.45,10.35
TZ Arietis,TZ Arietis,M4.5V6,14.5780,02:00:13.2,+13:03:08,0.14,14.03
Wolf 424,A,M5.5Ve,14.595,12:33:17.2,+09:01:15,0.143,14.97
Wolf 424,B,M7Ve,14.595,12:33:17.2,+09:01:15,0.131,14.96
Gliese 687,Gliese 687,M3.0V6,14.8395,17:36:25.9,+68:20:21,0.401,10.89
Gliese 674,Gliese 674,M3.0V6,14.8492,17:28:39.9,-46:53:43,0.35,11.09
LHS 292,LHS 292,M6.5V6,14.8706,10:48:12.6,-11:20:14,0.08,17.32
Gliese 440,Gliese 440,DQ66,15.1226,11:45:42.9,-64:50:29,0.75,13.18
GJ 1245,A,M5.5V6,15.2001,19:53:54.2,+44:24:55,0.11,15.17
GJ 1245,B,M6.0V6,15.2001,19:53:55.2,+44:24:56,0.1,15.72
GJ 1245,C,M5.5,15.2001,19:53:54.2,+44:24:55,0.07,18.46
WISE 1741+2553,WISE 1741+2553,T9,15.22,17:41:24.2,+25:53:19,0.1,18.18
Gliese 876,Gliese 876,M3.5V6,15.2382,22:53:16.7,-14:15:49,0.37,11.81
WISE 1639-6847,WISE 1639-6847,Y0.5,15.336,16:39:40.9,-68:47:46,0.2,22.10
LHS 288,LHS 288,M5.5V6,15.7586,10:44:21.2,-61:12:36,0.11,15.51
GJ 1002,GJ 1002,M5.5V6,15.8060,00:06:43.8,-07:32:22,0.11,15.4
DENIS 0255-4700,DENIS 0255-4700,L7.5V6,15.877,02:55:03.7,-47:00:52,0.025,24.44
Groombridge 1618,Groombridge 1618,K7.0V6,15.8857,10:11:22.1,+49:27:15,0.67,8.16
Gliese 412,A,M1.0V6,15.9969,11:05:28.6,+43:31:36,0.48,10.34
Gliese 412,B,M5.5V6,15.9969,11:05:30.4,+43:31:18,0.1,16.05
AD Leonis,AD Leonis,M3.0V6,16.1939,10:19:36.4,+19:52:10,0.39,10.87
Gliese 832,Gliese 832,M1.5 V6,16.2005,21:33:34.0,-49:00:32,0.45,10.2
Gliese 682,Gliese 682,M4 V,16.3328,17:37:03.7,-44:19:09,0.27,12.45
Omicron2 Eridani,Keid,K0.5 V,16.3330,04:15:16.3,-07:39:10,0.84,5.93
Omicron2 Eridani,B,DA4,16.3330,04:15:21.8,-07:39:29,0.573,11.02
Omicron2 Eridani,C,M4 V,16.3330,04:15:21.5,-07:39:22,0.2036,12.74
